Overall Experience-Value,Overall Comment,FeedbackCategory,Subcategory
5,Quick response-and extremely helpful,Thanks/Praise,Thanks/Praise
4,I was hoping the books would of come on time when you emailed me because parents are emailing me wondering where their orders are as Halloween is approaching and they still don't have their books.  Would it be possible to overnight this 200.00 order to make the parents in my class happy.  Please advise.,Shipping/Delivery,Delayed/Never Received Order
1,I said I wasn’t receiving scholastic emails when a student placed an online order so I know to go on and submit it. They just told me to check my spam and put in a tech request. I knew to check my spam prior to contacting…,Possible Tech Issue/TRF,Submitting Parent Order
1,I said I wasn’t receiving scholastic emails when a student placed an online order so I know to go on and submit it. They just told me to check my spam and put in a tech request. I knew to check my spam prior to contacting…,Customer Service,CS Experience
5,No Comment,No Comment,No Comment
5,Good,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
3,The email was extremely helpful and she stated the book box with order forms was send to the address 3918 FM 2405 Winters Texas 79567.  I did receive an email that the book box was delivered to 500 North Heights.  I used to be the director at the 500 north heights address. They do not want any book orders sent to them or when they saw my name they threw it in the trash.  I currently watch babies in the home. The parents are eager to get books for their children. I will submit an online order but want to make sure it has the 3918 FM address I appreciate your assistance. I taught school for 33 years and was director of the Winters cdc for over 10 years. I have slot of bonus points I plan to use soon to purchase things for.the babies parents and their older siblings. Thank you. Cheryl Sneed,Shipping/Delivery,Delayed/Never Received Order
5,They were extremely helpful and quick to resolve my issue,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,Customer service was prompt and helpful. Thank you!,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
4,Let the chat box stay open as we navigate the site,Customer Service,CS Experience
3,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
1,"I am still not receiving book order forms at the school and have called emailed, texted and completed a live chat",Kits,Kits
1,"I am still not receiving book order forms at the school and have called emailed, texted and completed a live chat",Customer Service,CS Experience
5,No Comment,No Comment,No Comment
4,It would be nice to be able to have a tax-exempt letter on file without having to submit it each time.,Account Balance/Payment,Tax
3,"I had an order in Sept. that was delivered and one book was not included (this happened once last year too).  I was told the book would be sent out and here within 7-10 days.  The representative today told me that she didn't see a record of that, and was now sending the book and it would take an additional  7-10 days.  This means the student is waiting about 20 days to received a book that she ordered.  I was hoping it would have been a rush by now.",Shipping/Delivery,Delayed/Never Received Order
5,No Comment,No Comment,No Comment
5,The response was quick and helpful.,Thanks/Praise,Thanks/Praise
2,I opened a parent account in Tina DuBose's class & want to close it. Apparently I can't do that without also closing my teacher account.,All Other,All Other
5,The issue with my order was resolved very quickly!,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,I liked doing the live chat because my issue was resolved in a matter of seconds!,Thanks/Praise,Thanks/Praise
2,Having trouble getting books returned . The book came damaged and very low quality prints that seems unauthentic which costs $160 .,Shipping/Delivery,Item Missing
5,My problem was handled right away.,Thanks/Praise,Thanks/Praise
1,"Funds were removed from her sons ewallet to e gift card, with out her authorization.  The funds were then used as  Customer Service Balance Adjustment. I called on Mon and received my first email today, Wednesday. This has still not been resolved.",Customer Service,No Response from CS
1,"Funds were removed from her sons ewallet to e gift card, with out her authorization.  The funds were then used as  Customer Service Balance Adjustment. I called on Mon and received my first email today, Wednesday. This has still not been resolved.",Account Balance/Payment,Account Balance/Payment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
2,"The representative answered one part of my question and then abruptly left the chat, when I was not finished with my question yet.",Customer Service,CS Experience
2,"My items are saying they were delivered but one book was in another teacher in the buildings box and the rest of the books, a student order, are nowhere to be found.",Shipping/Delivery,Delayed/Never Received Order
3,"I had a 20% off coupon and it wasn’t used on my order, it said in the promotion section that 3 codes could be used. The READS; code went through I think, a free book appears on the receipt.",Bonus Points/Rewards/Promos,Bonus Points/Rewards/Promos
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,Very helpful,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,I tried to call scholastic 3 times and the phone disconnected each time. I then did the live chat and it was great!,Customer Service,CS Experience
4,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
4,I had to wait for an agent for 10 minutes...,Customer Service,Long Wait Times
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,"Kelly was kind and very helpful. I have worked with scholastic for over 30 years in 2 different states and who knows how many different schools. I have never had any negative interactions with anyone, and everyone is exceedingly helpful. I am very impressed with your company.",Thanks/Praise,Thanks/Praise
3,I did not receive a packing slip in my box.  Books were missing or damaged. My order was large and came on several days in different boxes.  2 had packing slips 1 did not.  Some books were damaged and some were missing.  It took way to long to sort out the books and contact scholastic twice and now wait for the missing/damaged books to arrive.,Shipping/Delivery,Item Missing
5,I was checking on the status of an order; they were quick to respond and very helpful!!,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
1,"I found the answer myself.  I thought the new Diary of a Wimpy kid was a preorder on the 21st and I was trying to find out the price.  The representative said Scholastic doesn't have anything preordered and questioned if I saw this on a different site.  She did also not answer my question as to how much the book was.  Then, the chat was terminated.  I went back to the email and found the information myself.",Customer Service,CS Experience
4,"Nothing, I had one book that was damaged, but it has been taken care of!",Shipping/Delivery,Damaged Item
5,The chat was a very quick cut off to start - but once I reached the final person - they changed my parent to a teacher account quickly and efficiently.  Grateful.  :),Customer Service,CS Experience
5,No Comment,No Comment,No Comment
2,There are no 25 books for $40 on the Grades 1 - 2 level.,Price,Price
2,"I have a parent that submitted an order without telling me (I did not send home the flyers).  I just saw this due to an alert you sent me (thank you).  However, the screen would free on the payment page of the checkout and wouldn't let me submit the order for processing.  I was stuck there on that screen.",Possible Tech Issue/TRF,Submitting Parent Order
4,"Your customer support was helpful-we have a box of books that is MIA, and right away, the support person said they would ship another box of books.  However, it's frustrating to have kids waiting so very long for their books.  Last year that happened, and now our books are lost.  I realize that the USPS is out of your control, but it's still frustrating that boxes cannot just come by UPS.",Shipping/Delivery,Item Missing
5,We had some students missing book orders,Shipping/Delivery,Item Missing
4,"When it says your books have been delivered, you could be more specific and say book box 2 was delivered. Box 1 is still on its way.  I just wanted to make sure you knew that all of my books had not arrived. My opinion is still somewhat pending as I am still waiting for my second box.",Shipping/Delivery,Delayed/Never Received Order
5,I am so impressed with how quickly I received help as well as an actual reply.  Thank you!!!!,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
