Submission Date (Central Time),Overall Rating,Comments,FeedbackCategory,Subcategory
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,Always great books. Lots of incentives and free books. Easy to use website. Fast shipments.,Thanks/Praise,Thanks/Praise
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,"was just looking for the flyer today, but plan on ordering soon",All Other,Intending Future Order
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,I really appreciate all of the hard work Scholastic has put in since the pandemic to make things more smooth with delivery! It shows how much has changed from last year!,Thanks/Praise,Thanks/Praise
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,Have used this for book orders for years now. I have not had any issues.,Thanks/Praise,Thanks/Praise
10/19/2022,5,Love Scholastic Book Clubs and the Classroom Magazine (Clifford) is my student's favorites!,Thanks/Praise,Thanks/Praise
10/19/2022,3,I had to log in repeatedly because I got 'timed out'.,Possible Tech Issue/TRF,Log In Issues
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,5,this site is amazing wish I visited it sooner,Thanks/Praise,Thanks/Praise
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,3,No Comment,No Comment,No Comment
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,4,Found the Holiday Book flyer selection on my teacher order and would not let me submit an order for the Harry Potter Advent Calendar - message it must be done under student flyers. Then when I went to student flyers the Holiday book flyer was not listed as an option?,Possible Tech Issue/TRF,Adding Items to Cart
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,3,Search results could be better. Sometimes the titles or key,Website,Search Function
10/19/2022,4,"In general, I HATE that I have to place orders/use points IN THE MOMENT I am trying to place an online order (i.e. ""You have earned XXX points to shop right now""). I should be able to revisit and shop at another time (within a reasonable time frame)",Bonus Points/Rewards/Promos,Bonus Points/Rewards/Promos
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,3,No Comment,No Comment,No Comment
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,5,Love Scholastic!,Thanks/Praise,Thanks/Praise
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,Love this site! So many good things.,Thanks/Praise,Thanks/Praise
10/19/2022,3,"The books that we are ordering are not the books that are displayed during the order process compared to the sheet that my child brings home, or that we are receiving.  I have listed my email address below, only for a response to my concern and not for advertisement purposes from Scholastic.",Product Variety/Inventory,Product Info/Description
10/19/2022,2,Please work on a system that allows the  use of a gift card visa or American Express and your credit/debit card at the same time. That would be great.,Account Balance/Payment,Account Balance/Payment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,1,I am looking for Indestructibles books for babies.,Product Variety/Inventory,Lacking Variety/Specific Product Not Offered
10/19/2022,3,it just can get a little clunky to navigate,Website,Performance/Navigation/General
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,4,I wasnt aware that I had to submit the order when parents order online.,Possible Tech Issue/TRF,Submitting Parent Order
10/19/2022,5,I thoroughly enjoy being a Scholastic Book club member...,Thanks/Praise,Thanks/Praise
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,"I submitted orders yesterday and of course received a late order.  I wish I could have added to my previous order to help you with shipping.  but, when I called I was told no.",Customer Service,CS Experience
10/19/2022,5,"I submitted orders yesterday and of course received a late order.  I wish I could have added to my previous order to help you with shipping.  but, when I called I was told no.",Shipping/Delivery,Shipping Fee
10/19/2022,4,"I had to login in twice and refresh my screen, because the login appeared very small in the upper left-hand corner, after I had already put in 1 of the book titles.",Possible Tech Issue/TRF,Log In Issues
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,"My daughter loves reading books from you guys! Thanks,  for making these books.",Thanks/Praise,Thanks/Praise
10/19/2022,2,I placed an order 13 days ago and my order still shows as processing.  How long is this order go to take to process?,Shipping/Delivery,Delayed/Never Received Order
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,3,it was not easy to navigate and none of the items I tried to look at had prices,Website,Performance/Navigation/General
10/19/2022,3,it was not easy to navigate and none of the items I tried to look at had prices,Possible Tech Issue/TRF,Prices Not Listed
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,3,"difficulties submitting info while searching for teachers info, lagging pretty badly. took a few minutes for each letter to appear",Website,Performance/Navigation/General
10/19/2022,3,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,2,I preset due dates for the entire year last month and now the calendar is nowhere to be found,All Other,All Other
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,5,Added the book of the week to my cart so I wouldn't forget!,All Other,Intending Future Order
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,5,"The site is a step up for Scholastics, great idea!",Thanks/Praise,Thanks/Praise
10/19/2022,5,No Comment,No Comment,No Comment
10/19/2022,4,No Comment,No Comment,No Comment
10/19/2022,5,No Comment,No Comment,No Comment
10/18/2022,5,No Comment,No Comment,No Comment
10/18/2022,3,No Comment,No Comment,No Comment
10/18/2022,5,No Comment,No Comment,No Comment
10/18/2022,2,"I was told to ""take screenshot and go to another site"" in order to clear a false charge.   The charge has already appeared on my charge card statement. I rete the charge w/my credit company.moved the credit card info from my Scholastic account and have started to dispute this charge w/my credit company.",Customer Service,CS Experience
10/18/2022,2,"I was told to ""take screenshot and go to another site"" in order to clear a false charge.   The charge has already appeared on my charge card statement. I rete the charge w/my credit company.moved the credit card info from my Scholastic account and have started to dispute this charge w/my credit company.",Account Balance/Payment,Account Balance/Payment
10/18/2022,4,No Comment,No Comment,No Comment
10/18/2022,5,No Comment,No Comment,No Comment
10/18/2022,5,No Comment,No Comment,No Comment
10/18/2022,5,No Comment,No Comment,No Comment
10/18/2022,4,No Comment,No Comment,No Comment
10/18/2022,5,No Comment,No Comment,No Comment
10/18/2022,5,No Comment,No Comment,No Comment
